Major Name,Total
Aerospace Engineering,526
Agricultural & Biological Engr,102
Agricultural Engineering,44
Bioengineering,200
Bioinformatics,3
Civil Engineering,1169
Computer Engineering,524
Computer Science,1169
Electrical & Computer Engr,504
Electrical Engineering,1024
Engineering Mechanics,135
Engineering Physics,143
Environ Engr in Civil Engr,84
Environ Science in Civil Engr,9
Financial Engineering,26
General Engineering,426
Industrial Engineering,201
Materials Science & Engr,466
Mechanical Engineering,1092
Nondegree,201
Nuclear Engineering,122
"Nuclear, Plasma, Radiolgc Engr ",118
Physics,260
Systems & Entrepreneurial Engr,26
Teaching of Physics,1
Theoretical & Applied Mechans,45
