,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
5078,2005,LAS,General Curriculum,3775,1700,2070,3512,263
5107,2005,LAS,Psychology,1376,381,995,1160,216
5062,2005,LAS,Biology,1069,495,573,954,115
5105,2005,LAS,Political Science,1064,642,419,970,94
5074,2005,LAS,English,1058,333,724,908,150
5073,2005,LAS,Economics,861,652,209,568,293
5097,2005,LAS,Molecular and Cellular Biology,794,324,469,743,51
5067,2005,LAS,Chemistry,760,449,311,464,296
5083,2005,LAS,History,693,417,275,579,114
5094,2005,LAS,Mathematics,613,394,219,404,209
