Major Name,Total
Agr & Consumer Economics,646
Agr & Environmental Cmc & Educ,82
Agr Engineering & Agr Science,69
"Agribusiness, Farm & Financial ",4
Agricultural Education,2
Agricultural Production,5
Animal Sciences,620
Bioenergy,6
Bioinformatics,3
Crop Sciences,163
Food Science & Human Nutrition,443
Horticulture,51
Human & Community Development,30
Human Development & Family St,208
"Intl, Resource, Consumer Econ ",2
Natural Res & Env Sciences,88
Natural Resrcs & Environ Sci,195
Nondegree,48
Nutritional Sciences,58
