Major Name,Total
Accountancy,1001
Business Administration,1428
CBA NON-DEGREE,54
Computer Science,437
Economics,252
Executive MBA Program,64
Finance,1026
INT'L MSBA,37
Leisure Studies,41
Teaching of Spanish,26
Technical Systems Management,86
Theatre,97
UNASSIGNED,518
