Major Name,Total
African Studies,11
Asian Studies,13
Astronomy,72
Atmospheric Sciences,37
Biochemistry,377
Bioengineering,1
Biology,1069
Biophysics & Computnl Biology,68
Cell and Structural Biology,74
Chemical Engineering,394
Chemical Physics,10
Chemistry,760
Classical Philology,7
Classics,34
Comparative Literature,64
Creative Writing,18
E Asian Languages & Cultures,67
Economics,861
English,1058
Entomology,33
Finance,162
French,102
General Curriculum,3775
Geography,82
Geology,93
German,23
Germanic Lang & Lit,23
History,693
History of Art,30
Humanities,7
Individual Plans of Study,5
Integrative Biology,251
Interdisciplinary,38
International Studies,317
Italian,10
Latin American Studies,14
Linguistics,103
Math & Computer Science,128
Mathematics,613
Microbiology,86
Molecular & Integrative Physi,37
Molecular and Cellular Biology,794
Molecular&Cell Bio-undeclared,18
Music,17
Neuroscience,59
Nondegree,130
Philosophy,137
Physics,187
Plant Biology,20
Political Science,1064
Portuguese,2
Psychology,1376
Religious Studies,29
Rhetoric,134
Russian & E European Studies,12
Russian Lang & Literature,4
Slavic Languages & Literature,4
Sociology,472
Spanish,318
Speech Communication,504
Statistics,77
Statistics & Computer Science,10
Teaching of Biological Science,1
Teaching of Chemistry,12
Teaching of English Sec Lang,50
Teaching of French,8
Teaching of German,2
Teaching of Latin,1
Teaching of Mathematics,2
Teaching of Spanish,27
