Major Name,Total
Agr & Consumer Economics,318
Agr & Environmental Cmc & Educ,127
Agr Engineering & Agr Science,59
Agricultural & Applied Econ,54
Agricultural Communications,7
Agricultural Engineering,2
Agricultural Sciences,2
Agronomy,24
Animal Sciences,594
CFTM-CNSMR&TXTL,84
CFTM-MKT&PRICE,30
Crop Sciences,153
DIETETICS,1
Food Science & Human Nutrition,357
Forestry,32
H DVL-FAM,28
HDFS,2
HDFS-CH&AD DEV,113
HDFS-FS,58
HORT -- P&M,89
HORT--HORT SCI,6
HU DEV&FAM,7
Horticulture,11
Human & Community Development,20
IRCE-CONS EC&F,77
IRCE-E&NR MGMT,4
IRCE-INDCURRIC,6
"IRCE-POL,TRD,DV",26
Mechanical Agriculture,1
NRES - SOILS,3
NRES-BIOL SCI,137
NRES-SOC SCI,49
Natural Res & Env Sciences,3
Natural Resrcs & Environ Sci,112
Nutritional Sciences,39
ORN HORT,15
PLANT PATH,11
Physics,285
REST MGMT,5
"Recreation, Sport, and Tourism ",93
Secondary Education,1
Spanish,49
Speech & Hearing Science,202
Statistics,20
Teaching of Biological Science,4
Teaching of Chemistry,2
Teaching of Earth Science,2
Teaching of English Sec Lang,83
Teaching of French,3
Teaching of German,3
Teaching of Latin,1
Teaching of Mathematics,4
Teaching of Physics,1
