,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
6999,2014,LAS,Psychology,1399,423,976,1085,314
6962,2014,LAS,Economics,1127,766,361,466,661
6989,2014,LAS,Molecular and Cellular Biology,1095,552,543,995,100
6946,2014,LAS,Chemistry,845,514,331,408,437
6949,2014,LAS,Communication,831,359,471,666,165
6944,2014,LAS,Chemical Engineering,790,562,228,513,277
6941,2014,LAS,Biology,707,305,402,629,78
6986,2014,LAS,Mathematics,699,448,251,239,460
6997,2014,LAS,Political Science,688,418,270,576,112
6963,2014,LAS,English,486,143,343,386,100
