,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
5722,2009,ACES,Agr & Consumer Economics,646,425,221,528,118
5728,2009,ACES,Animal Sciences,620,168,451,555,65
5732,2009,ACES,Food Science & Human Nutrition,443,97,346,342,101
5735,2009,ACES,Human Development & Family St,208,14,192,197,11
5738,2009,ACES,Natural Resrcs & Environ Sci,195,99,96,183,12
5731,2009,ACES,Crop Sciences,163,115,48,124,39
5737,2009,ACES,Natural Res & Env Sciences,88,52,36,41,47
5723,2009,ACES,Agr & Environmental Cmc & Educ,82,18,64,80,2
5724,2009,ACES,Agr Engineering & Agr Science,69,60,9,67,2
5740,2009,ACES,Nutritional Sciences,58,14,44,19,39
