Major Name,Total
Agr & Consumer Economics,685
Agr & Environmental Cmc & Educ,3
Agr Engineering & Agr Science,1
Agric Leadership & Sci Educ,55
Agricultural & Applied Econ,67
Agricultural & Biological Engr,100
Agricultural Education,8
Agricultural Production,7
Animal Sciences,632
Bioenergy,17
Bioinformatics,3
Crop Sciences,262
Food Science & Human Nutrition,517
Horticulture,31
Human & Community Development,26
Human Development & Family St,187
Natural Res & Env Sciences,84
Natural Resrcs & Environ Sci,232
Nondegree,136
Nutritional Sciences,43
