Major Name,Total
Architectural Studies,402
Architecture,172
Art Education,42
Art Foundation,115
Art History,21
Art and Design,42
Crafts,16
Dance,70
Graphic Design,94
History of Art,5
Industrial Design,132
Instrumental Music,76
Jazz Performance,31
Landscape Architecture,127
Music,341
Music Composition,8
Music Education,180
Musicology,22
New Media,17
Nondegree,30
Open Studies,3
Painting,20
Photography,9
Regional Planning,15
Sculpture,1
Theatre,160
Urban Planning,142
Voice,28
