Major Name,Total
Agr & Environmental Cmc & Educ,4
Agricultural & Applied Econ,386
Agricultural Communications,86
Agricultural Education,25
Agricultural Engineering,109
Agricultural Sciences,68
Agronomy,179
Animal Sciences,508
Application Design,12
CONSM ECON,2
CORE CURR,115
DAIRY SCI,67
DIETETICS,46
EXT EDUC,12
FAM&CON EC,9
Food Science & Human Nutrition,206
Forestry,100
GEN AGR,44
GEN H ECON,15
H DVL-FAM,70
HOME ECON,41
HOME MGMT,9
HR&FS A&ID,7
HR&FS GEN,9
HU DEV&FAM,18
Horticulture,63
INST MGMT,8
INT DSGN,172
Industrial Agriculture,56
MKT TEXT&A,125
Mechanical Agriculture,37
Nutritional Sciences,40
ORN HORT,92
PLANT PATH,41
Physics,365
REST MGMT,56
Secondary Education,21
Spanish,46
Speech & Hearing Science,140
Statistics,15
TEXT-APPRL,12
Teaching of Biological Science,1
Teaching of Chemistry,5
Teaching of English Sec Lang,77
Teaching of French,12
Teaching of German,3
Teaching of Latin,5
Teaching of Mathematics,26
Teaching of Physics,1
VOC H E ED,26
Wood Sciences,1
