Major Name,Total
Aerospace Engineering,507
Agricultural & Biological Engr,156
Agricultural Engineering,10
Bioengineering,231
Bioinformatics,2
Civil Engineering,1178
Computer Engineering,608
Computer Science,1229
Electrical & Computer Engr,476
Electrical Engineering,1128
Engineering Mechanics,142
Engineering Physics,152
Environ Engr in Civil Engr,96
Environ Science in Civil Engr,7
Financial Engineering,69
General Engineering,384
Industrial Engineering,226
Materials Science & Engr,547
Mechanical Engineering,1055
Nondegree,207
Nuclear Engineering,59
"Nuclear, Plasma, Radiolgc Engr ",209
Physics,265
Systems & Entrepreneurial Engr,19
Teaching of Physics,3
Theoretical & Applied Mechans,47
