Major Name,Total
African Studies,11
Asian Studies,13
Astronomy,70
Atmospheric Sciences,47
Biochemistry,260
Bioengineering,1
Biology,908
Biophysics & Computnl Biology,67
Cell and Structural Biology,65
Chemical Engineering,472
Chemical Physics,12
Chemistry,741
Classical Philology,5
Classics,37
Comparative Literature,56
Creative Writing,20
E Asian Languages & Cultures,90
"Earth Systems, Env, & Society ",1
Economics,928
English,1037
Entomology,32
Finance,93
French,96
General Curriculum,3379
Geography,96
Geology,91
German,21
Germanic Lang & Lit,32
History,711
History of Art,34
Humanities,3
Individual Plans of Study,6
Integrative Biology,292
Interdisciplinary,49
International Studies,369
Italian,11
Latin American Studies,14
Linguistics,139
Math & Computer Science,106
Mathematics,551
Microbiology,71
Molecular & Integrative Physi,37
Molecular and Cellular Biology,916
Molecular&Cell Bio-undeclared,24
Music,1
Neuroscience,52
Nondegree,129
Philosophy,124
Physics,164
Plant Biology,25
Political Science,1130
Portuguese,6
Psychology,1520
Religious Studies,25
Rhetoric,108
Russian & E European Studies,6
Russian Lang & Literature,4
"Russian, E Eur, Eurasian St ",7
Slavic Languages & Literature,10
Sociology,537
Spanish,353
Speech Communication,729
Statistics,118
Statistics & Computer Science,8
Teaching of Chemistry,4
Teaching of English Sec Lang,53
Teaching of French,3
Teaching of German,4
Teaching of Latin,1
Teaching of Mathematics,2
Teaching of Spanish,31
