,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3993,1999,Labor and Industrial Relations,HR & IND RELS,123,39,84,76,47
3994,1999,Labor and Industrial Relations,LAB&IN REL,6,3,3,2,4
