Major Name,Total
ACES Undeclared,6
Accountancy,1296
Actuarial Science,335
Advertising,632
African American Studies,15
Anthropology,149
Applied Mathematics,54
Curriculum and Instruction,91
Early Childhood Education,65
Ed Organization and Leadership,34
"Educ Policy, Orgzn & Leadrshp ",522
Education Curriculum Uassign,26
Educational Policy Studies,68
Educational Psychology,56
Elementary Education,296
Human Resource Education,21
Learning and Education Studies,58
Middle Grades Education,76
Nondegree,4
Secondary Education,19
Special Education,175
