,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3584,1997,Media,Advertising,273,113,160,228,45
3589,1997,Media,News-Editorial,99,48,51,92,7
3585,1997,Media,Broadcast Journalism,76,22,54,71,5
3586,1997,Media,Communication,36,14,22,12,24
3588,1997,Media,Media Studies,32,16,16,30,2
3587,1997,Media,Journalism,24,13,11,15,9
