Major Name,Total
African Studies,3
Astronomy,77
Atmospheric Sciences,121
Biochemistry,219
Biology,707
Biophysics & Computnl Biology,54
Cell and Developmental Biology,52
Chemical Engineering,790
Chemical Physics,8
Chemistry,845
Classical Philology,8
Classics,22
Communication,831
Comparative Literature,28
Computer Sci & Anthropology,9
Computer Sci & Astronomy,8
Computer Sci & Chemistry,15
Computer Sci & Linguistics,8
Creative Writing,66
E Asian Languages & Cultures,83
"Earth Systems, Env, & Society ",1
"Earth, Soc, Env Sustainability ",141
"Earth, Society, & Environment ",8
East Asian Studies,16
"Ecol, Evol, Conservation Biol ",33
Economics,1127
English,486
Entomology,41
European Union Studies,8
French,43
Gender and Women's Studies,11
General Curriculum,202
Geography,39
Geography & Geographic Info Sc,29
Geology,114
German,12
Germanic Lang & Lit,10
Global Studies,218
History,327
History of Art,21
Individual Plans of Study,7
Integrative Biology,408
Interdisciplinary,4
Italian,5
LAS - Undeclared,165
Latin American Studies,9
Latina/Latino Studies,5
Linguistics,111
Math & Computer Science,210
Mathematics,699
Microbiology,54
Molecular & Integrative Physi,22
Molecular and Cellular Biology,1095
Molecular&Cell Bio-undeclared,22
Neuroscience,62
Nondegree,211
Philosophy,79
Physics,402
Plant Biology,42
Plant Biotechnology,3
Political Science,688
Portuguese,3
Psychology,1399
Religion,20
Rhetoric,34
Russian Lang & Literature,5
"Russian, E Eur, Eurasian St ",19
S Asian & Middle Eastern St,5
Slavic Languages & Literature,17
Sociology,237
Spanish,137
Speech Communication,2
Statistics,262
Statistics & Computer Science,55
Teaching of Biological Science,1
Teaching of Chemistry,3
Teaching of English Sec Lang,51
Teaching of French,3
Teaching of Latin,3
Teaching of Mathematics,4
Teaching of Spanish,16
Translation and Interpreting,10
