Major Name,Total
Aerospace Engineering,507
Agricultural & Biological Engr,59
Agricultural Engineering,64
Bioengineering,178
Bioinformatics,4
Civil Engineering,1090
Computer Engineering,469
Computer Science,1035
Electrical & Computer Engr,513
Electrical Engineering,945
Engineering Mechanics,106
Engineering Physics,139
Environ Engr in Civil Engr,80
Environ Science in Civil Engr,11
General Engineering,454
Industrial Engineering,159
Materials Science & Engr,463
Mechanical Engineering,1052
Nondegree,196
Nuclear Engineering,117
"Nuclear, Plasma, Radiolgc Engr ",102
Physics,275
Systems & Entrepreneurial Engr,30
Theoretical & Applied Mechans,46
