Major Name,Total
African Studies,9
American Civilization,1
Asian Studies,10
Astronomy,64
Atmospheric Sciences,38
Biochemistry,317
Biology,795
Biophysics & Computnl Biology,59
Cell and Structural Biology,68
Chemical Engineering,425
Chemical Physics,11
Chemistry,846
Classical Philology,4
Classics,38
Comparative Literature,62
Creative Writing,20
E Asian Languages & Cultures,90
Economics,959
English,1071
Entomology,37
Finance,188
French,111
General Curriculum,3468
Geography,83
Geology,94
German,23
Germanic Lang & Lit,32
History,683
History of Art,32
Humanities,8
Individual Plans of Study,9
Integrative Biology,301
Interdisciplinary,39
International Studies,356
Italian,12
Latin American Studies,10
Linguistics,124
Math & Computer Science,120
Mathematics,590
Microbiology,75
Molecular & Integrative Physi,35
Molecular and Cellular Biology,943
Molecular&Cell Bio-undeclared,45
Music,8
Neuroscience,58
Nondegree,135
Philosophy,132
Physics,177
Plant Biology,23
Political Science,1114
Portuguese,2
Psychology,1451
Religious Studies,23
Rhetoric,109
Russian & E European Studies,12
Russian Lang & Literature,6
"Russian, E Eur, Eurasian St ",3
Slavic Languages & Literature,8
Sociology,509
Spanish,374
Speech Communication,592
Statistics,75
Statistics & Computer Science,11
Teaching of Biological Science,1
Teaching of Chemistry,6
Teaching of English Sec Lang,54
Teaching of French,5
Teaching of German,4
Teaching of Latin,2
Teaching of Mathematics,2
Teaching of Spanish,30
