Major Name,Total
Agr & Environmental Cmc & Educ,4
Agricultural & Applied Econ,380
Agricultural Communications,73
Agricultural Education,14
Agricultural Engineering,57
Agricultural Sciences,44
Agronomy,139
Animal Sciences,380
CONSM ECON,44
CORE CURR,52
DAIRY SCI,17
DIETETICS,59
EXT EDUC,13
FAM&CON EC,18
Food Science & Human Nutrition,222
Forestry,57
GEN AGR,17
GEN H ECON,3
H DVL-FAM,82
HR&FS A&ID,15
HR&FS GEN,7
HU DEV&FAM,16
Horticulture,59
INST MGMT,4
INT DSGN,101
Industrial Agriculture,91
MKT TEXT&A,117
Mechanical Agriculture,23
Nutritional Sciences,41
ORN HORT,71
PLANT PATH,30
Physics,372
REST MGMT,126
SOIL SCI,4
Secondary Education,32
Spanish,52
Speech & Hearing Science,109
Statistics,69
TEXT-APPRL,36
Teaching of Biological Science,2
Teaching of Chemistry,11
Teaching of English Sec Lang,72
Teaching of French,26
Teaching of German,13
Teaching of Latin,1
Teaching of Mathematics,49
Teaching of Physics,3
VOC H E ED,6
