Major Name,Total
Anthropology,68
Applied Mathematics,26
Asian Studies,24
Astronomy,19
Atmospheric Sciences,24
BIOCH,164
Biochemistry,115
Biology,133
Biophysics & Computnl Biology,37
Chemical Engineering,426
Chemical Physics,5
Chemistry,478
Classical Philology,7
Classics,5
Comparative Literature,28
English,123
Entomology,27
French,48
GEN CURR,2182
Genetics,1
Geography,34
Geology,46
German,33
History,102
Italian,7
LAS TCH MATH,12
Linguistics,87
Mathematics,173
Microbiology,62
Molecular & Integrative Physi,60
PRE-JOURN,554
PRE-MED,186
PUB ADMIN,6
Philosophy,39
Plant Biology,34
Political Science,66
Portuguese,5
Psychology,209
Slavic Languages & Literature,24
Sociology,35
Speech Communication,55
TCH BIOL,26
TCH ENGL,58
TCH PHY SC,1
TCH SOC ST,20
TCH SPEECH,7
TEACH CS,4
UNCLASS,190
UNCM FR&SO,233
