Major Name,Total
Agr & Consumer Economics,647
Agric Leadership & Sci Educ,55
Agricultural & Applied Econ,86
Agricultural & Biological Engr,84
Agricultural Communications,38
Agricultural Education,32
Agricultural Production,6
Animal Sciences,626
Bioinformatics,4
Bioprocessing and Bioenergy,10
Computer Science&Crop Sciences,4
Crop Sciences,238
Food Science & Human Nutrition,480
Horticulture,3
Human & Community Development,1
Human Development & Family St,253
Human Dvlpmt & Family Studies,24
Natural Res & Env Sciences,118
Natural Resrcs & Environ Sci,241
Nondegree,81
Nutritional Sciences,41
