,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
7708,2018,ACES,Agr & Consumer Economics,647,452,195,561,86
7715,2018,ACES,Animal Sciences,626,128,496,518,108
7720,2018,ACES,Food Science & Human Nutrition,480,130,350,290,190
7723,2018,ACES,Human Development & Family St,253,22,230,245,8
7726,2018,ACES,Natural Resrcs & Environ Sci,241,98,143,203,38
7719,2018,ACES,Crop Sciences,238,136,102,164,74
7725,2018,ACES,Natural Res & Env Sciences,118,58,60,45,73
7710,2018,ACES,Agricultural & Applied Econ,86,48,38,10,76
7711,2018,ACES,Agricultural & Biological Engr,84,47,37,62,22
7727,2018,ACES,Nondegree,81,40,41,59,22
