Major Name,Total
Aerospace Engineering,657
Agricultural & Biological Engr,126
Bioengineering,318
Bioinformatics,5
Bioinstrumentation,12
Civil Engineering,1319
Computer Engineering,1062
Computer Science,1640
Electrical & Computer Engr,503
Electrical Engineering,1146
Engineering,20
Engineering Mechanics,112
Engineering Physics,248
Engineering Undeclared,147
Environ Engr in Civil Engr,100
Environ Science in Civil Engr,1
Financial Engineering,122
General Engineering,230
Industrial Engineering,337
Materials Science & Engr,586
Mechanical Engineering,1251
Nondegree,218
Nuclear Engineering,3
"Nuclear, Plasma, Radiolgc Engr ",233
Physics,261
Systems & Entrepreneurial Engr,28
Theoretical & Applied Mechans,47
