,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3099,1995,Fine and Applied Arts,Architectural Studies,509,324,185,448,61
3103,1995,Fine and Applied Arts,Art and Design,340,160,180,285,55
3115,1995,Fine and Applied Arts,Music Education,290,123,167,228,62
3100,1995,Fine and Applied Arts,Architecture,187,125,62,131,56
3108,1995,Fine and Applied Arts,Landscape Architecture,159,91,68,129,30
3114,1995,Fine and Applied Arts,Music,148,59,89,44,104
3121,1995,Fine and Applied Arts,Urban Planning,144,82,62,117,27
3101,1995,Fine and Applied Arts,Art Education,126,29,97,107,19
3106,1995,Fine and Applied Arts,Graphic Design,109,39,70,95,14
3112,1995,Fine and Applied Arts,MUSIC-INST,106,41,65,74,32
