Major Name,Total
Agr & Consumer Economics,670
Agr Engineering & Agr Science,1
Agric Leadership & Sci Educ,55
Agricultural & Applied Econ,83
Agricultural & Biological Engr,98
Agricultural Education,10
Agricultural Production,8
Agriculture,1
Animal Sciences,620
Bioenergy,19
Bioinformatics,2
Crop Sciences,264
Food Science & Human Nutrition,493
Horticulture,24
Human & Community Development,32
Human Development & Family St,198
Natural Res & Env Sciences,83
Natural Resrcs & Environ Sci,235
Nondegree,119
Nutritional Sciences,45
