Major Name,Total
African American Studies,13
Anthropology,64
Applied Mathematics,13
Asian Studies,34
Astronomy,28
Atmospheric Sciences,31
BIOCH,180
Biochemistry,77
Biology,59
Biophysics & Computnl Biology,49
CELL & STR BIOL,51
Chemical Engineering,468
Chemical Physics,4
Chemistry,400
Classical Philology,6
Classics,9
Comparative Literature,21
English,115
Entomology,32
French,37
GEN CURR,2838
Geography,34
Geology,55
German,24
History,106
Italian,6
LAS TCH MATH,1
LATIN AMER ST,4
Linguistics,49
Mathematics,171
Microbiology,54
Molecular & Integrative Physi,42
Neuroscience,41
PRE-JOURN,424
PRE-MED,258
Philosophy,41
Plant Biology,26
Political Science,42
Portuguese,3
Psychology,159
REES,5
Slavic Languages & Literature,11
Sociology,45
Speech Communication,50
TCH BIOL,5
TCH ENGL,5
TCH SOC ST,1
TRANSITION,201
UNCLASS,200
UNCM FR&SO,181
