Major Name,Total
Agr & Consumer Economics,642
Agric Leadership & Sci Educ,74
Agricultural & Applied Econ,79
Agricultural & Biological Engr,77
Agricultural Communications,26
Agricultural Education,34
Agricultural Production,14
Animal Sciences,585
Bioenergy,2
Bioinformatics,3
Bioprocessing and Bioenergy,4
Crop Sciences,249
Food Science & Human Nutrition,536
Horticulture,3
Human & Community Development,1
Human Development & Family St,224
Human Dvlpmt & Family Studies,24
Natural Res & Env Sciences,120
Natural Resrcs & Environ Sci,228
Nondegree,96
Nutritional Sciences,49
