Major Name,Total
Agr & Consumer Economics,352
Agr & Environmental Cmc & Educ,154
Agr Engineering & Agr Science,43
Agricultural & Applied Econ,4
Agricultural Education,2
Animal Sciences,595
CFTM-CNSMR&TXTL,53
CFTM-MKT&PRICE,3
"CMDTY,FD,TXTL M",79
Crop Sciences,153
Food Science & Human Nutrition,376
Forestry,23
HDFS-CH&AD DEV,133
HDFS-FS,69
HORT -- P&M,65
HORT--HORT SCI,7
HU DEV&FAM,2
Horticulture,3
Human & Community Development,28
IRCE-CONS EC&F,89
IRCE-E&NR MGMT,6
IRCE-INDCURRIC,10
"IRCE-POL,TRD,DV",33
NRES-BIOL SCI,83
NRES-ENV S W,27
NRES-F & W CONS,41
NRES-SOC SCI,65
Natural Res & Env Sciences,3
Natural Resrcs & Environ Sci,143
Nondegree,13
Nutritional Sciences,35
Physics,310
"Recreation, Sport, and Tourism ",166
Spanish,64
Speech & Hearing Science,280
Statistics,27
Teaching of Biological Science,3
Teaching of Chemistry,12
Teaching of English Sec Lang,53
Teaching of French,4
Teaching of Latin,3
Teaching of Mathematics,1
Teaching of Physics,1
