Major Name,Total
African Studies,8
Asian Studies,10
Astronomy,73
Atmospheric Sciences,116
Biochemistry,202
Bioengineering,1
Biology,811
Biophysics & Computnl Biology,70
Cell and Developmental Biology,44
Cell and Structural Biology,3
Chemical Engineering,574
Chemical Physics,11
Chemistry,743
Classical Philology,9
Classics,36
Communication,508
Comparative Literature,44
Creative Writing,19
E Asian Languages & Cultures,102
"Earth Systems, Env, & Society ",128
"Ecol, Evol, Conservation Biol ",22
Economics,843
English,899
Entomology,34
Finance,4
French,86
Gender and Women's Studies,9
General Curriculum,227
Geography,69
Geology,82
German,22
Germanic Lang & Lit,29
Global Studies,93
History,626
History of Art,36
Individual Plans of Study,9
Integrative Biology,329
Interdisciplinary,45
International Studies,316
Italian,14
Latin American Studies,17
Linguistics,109
Math & Computer Science,79
Mathematics,567
Microbiology,68
Molecular & Integrative Physi,31
Molecular and Cellular Biology,1041
Molecular&Cell Bio-undeclared,61
Neuroscience,50
Nondegree,158
Philosophy,129
Physics,168
Plant Biology,40
Political Science,1017
Portuguese,2
Psychology,1417
Religion,6
Religious Studies,19
Rhetoric,118
Russian & E European Studies,5
Russian Lang & Literature,4
"Russian, E Eur, Eurasian St ",18
Slavic Languages & Literature,13
Sociology,493
Spanish,277
Speech Communication,377
Statistics,155
Statistics & Computer Science,16
Teaching of Biological Science,2
Teaching of Chemistry,3
Teaching of Earth Science,1
Teaching of English Sec Lang,50
Teaching of French,7
Teaching of German,3
Teaching of Latin,2
Teaching of Spanish,28
