Fall,College,Major Name,Total
1980,ACES,Food Science & Human Nutrition,53
1980,ACES,REST MGMT,53
1980,ACES,Speech & Hearing Science,54
1980,Business,MARKETING,54
1980,Education,ED POL ST,56
1980,LAS,Molecular & Integrative Physi,57
1980,LAS,PRE-JOURN,57
1980,Fine and Applied Arts,Urban Planning,58
1980,Business,Economics,59
1980,LAS,Microbiology,59
1980,Applied Health Sciences,Kinesiology,60
1980,LAS,HR&FS,61
1980,ACES,Food Science & Human Nutrition,63
1980,LAS,Linguistics,63
1980,Fine and Applied Arts,Music Education,63
1980,Engineering,Electrical Engineering,64
1980,LAS,Geology,64
1980,Fine and Applied Arts,Art and Design,65
1980,Applied Health Sciences,HLTH EDUC,65
1980,Fine and Applied Arts,UNCLASS,65
1980,Engineering,Nuclear Engineering,67
1980,Business,Computer Science,69
1980,ACES,Speech & Hearing Science,69
1980,ACES,Industrial Agriculture,70
1980,ACES,Agricultural & Applied Econ,72
1980,ACES,GEN AGR,74
1980,LAS,Chemical Engineering,75
1980,ACES,Teaching of English Sec Lang,75
1980,Engineering,Agricultural Engineering,76
1980,Business,Theatre,77
1980,ACES,Agricultural Communications,78
1980,LAS,Anthropology,78
1980,Education,Early Childhood Education,78
1980,Labor and Industrial Relations,LAB&IN REL,79
1980,ACES,Agricultural Sciences,81
1980,Engineering,METAL ENGR,81
1980,LAS,History,82
1980,Education,Special Education,82
1980,ACES,Agricultural Engineering,83
1980,ACES,Agronomy,84
1980,Engineering,Mechanical Engineering,85
1980,LAS,Biochemistry,86
1980,ACES,Physics,86
1980,Applied Health Sciences,THER REC,86
1980,ACES,Agronomy,89
1980,Fine and Applied Arts,Art and Design,92
1980,Fine and Applied Arts,Industrial Design,97
1980,Applied Health Sciences,PROG MANAG,97
1980,ACES,Animal Sciences,98
1980,Engineering,ENGR PHYS,99
1980,Engineering,METAL ENGR,99
1980,Business,Economics,101
1980,ACES,Forestry,103
1980,ACES,MKT TEXT&A,103
1980,Fine and Applied Arts,MUSIC-INST,105
1980,LAS,English,108
1980,Social Work,Social Work,108
1980,Education,ED SEC&CON,115
1980,Engineering,Nuclear Engineering,115
1980,Education,EDUC GEN,116
1980,Engineering,CER ENGR,117
1980,ACES,ORN HORT,118
1980,Education,Educ Voc Tech,120
1980,Engineering,Mechanical Engineering,124
1980,Fine and Applied Arts,Landscape Architecture,127
1980,Education,EDUC ELEMENTARY,129
1980,Education,Ed Organization and Leadership,135
1980,LAS,Biology,139
1980,LAS,Mathematics,139
1980,ACES,INT DSGN,140
1980,iSchool,Library & Information Science,142
1980,Business,Accountancy,146
1980,Business,Computer Science,148
1980,LAS,Psychology,152
1980,Fine and Applied Arts,Architecture,155
1980,Engineering,Industrial Engineering,155
1980,Education,Educational Psychology,156
1980,ACES,CORE CURR,158
1980,Fine and Applied Arts,Graphic Design,164
1980,ACES,HOME ECON,171
1980,Media,Journalism,171
1980,Aviation,Air Systems,172
1980,Fine and Applied Arts,Art and Design,174
1980,Media,Advertising,196
1980,Social Work,Social Work,207
1980,Applied Health Sciences,Kinesiology,208
1980,LAS,UNCLASS,214
1980,Engineering,Civil Engineering,225
1980,LAS,Chemistry,239
1980,ACES,Agricultural & Applied Econ,242
1980,Fine and Applied Arts,Music Education,246
1980,Fine and Applied Arts,Music,251
1980,Engineering,Computer Engineering,273
1980,ACES,Physics,276
1980,LAS,Chemistry,292
1980,Engineering,Electrical Engineering,322
1980,Engineering,Aero & Astro Engineering,330
1980,VetMed,Veterinary Medicine,355
1980,ACES,Animal Sciences,387
1980,Business,Business Administration,409
1980,Education,Elementary Education,428
1980,LAS,Chemical Engineering,455
1980,Engineering,Computer Science,457
1980,Business,Finance,489
1980,Engineering,GEN ENGR,558
1980,Law,Law,610
1980,Business,UNASSIGNED,611
1980,Fine and Applied Arts,Architectural Studies,627
1980,Engineering,Civil Engineering,648
1980,Engineering,Mechanical Engineering,796
1980,Business,Business Administration,1005
1980,Engineering,Electrical Engineering,1253
1980,Business,Accountancy,1383
1980,LAS,GEN CURR,2408
1981,ACES,Agricultural & Applied Econ,1
1981,LAS,Classics,1
1981,ACES,Teaching of Mathematics,1
1981,ACES,Teaching of Physics,1
1981,Engineering,ENGR MECH,1
1981,ACES,GEN AGRIC,1
