Major Name,Total
Agr & Consumer Economics,85
Agr & Environmental Cmc & Educ,112
Agr Engineering & Agr Science,45
"Agribusiness, Farm & Financial ",286
Agricultural Economics,1
Agricultural Education,10
Animal Sciences,594
Consumer and Textile Marketing,99
Crop Sciences,154
Food Science & Human Nutrition,413
Forestry,5
Horticulture,74
Human & Community Development,26
Human Development & Family St,193
"Intl, Resource, Consumer Econ ",176
Natural Res & Env Sciences,115
Natural Resrcs & Environ Sci,202
Nondegree,20
Nutritional Sciences,55
