Major Name,Total
African Studies,4
Asian Studies,6
Astronomy,64
Atmospheric Sciences,117
Biochemistry,224
Biology,697
Biophysics & Computnl Biology,67
Cell and Developmental Biology,39
Chemical Engineering,656
Chemical Physics,9
Chemistry,803
Classical Philology,9
Classics,25
Communication,873
Comparative Literature,27
Creative Writing,16
E Asian Languages & Cultures,93
"Earth Systems, Env, & Society ",36
"Earth, Soc, Env Sustainability ",61
"Earth, Society, & Environment ",49
East Asian Studies,6
"Ecol, Evol, Conservation Biol ",31
Economics,968
English,625
Entomology,36
European Union Studies,8
French,64
Gender and Women's Studies,11
General Curriculum,41
Geography,58
Geology,73
German,17
Germanic Lang & Lit,16
Global Studies,268
History,468
History of Art,26
Individual Plans of Study,4
Integrative Biology,443
Interdisciplinary,4
International Studies,6
Italian,7
LAS - Undeclared,178
Latin American Studies,11
Latina/Latino Studies,6
Linguistics,105
Math & Computer Science,86
Mathematics,613
Microbiology,59
Molecular & Integrative Physi,16
Molecular and Cellular Biology,1113
Molecular&Cell Bio-undeclared,33
Neuroscience,55
Nondegree,189
Philosophy,120
Physics,288
Plant Biology,43
Political Science,749
Portuguese,4
Psychology,1388
Religion,20
Religious Studies,2
Rhetoric,93
Russian & E European Studies,1
Russian Lang & Literature,5
"Russian, E Eur, Eurasian St ",6
Slavic Languages & Literature,16
Sociology,282
Spanish,188
Speech Communication,6
Statistics,270
Statistics & Computer Science,20
Teaching of Chemistry,2
Teaching of English Sec Lang,49
Teaching of French,8
Teaching of German,1
Teaching of Mathematics,3
Teaching of Spanish,18
