,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
7351,2016,Fine and Applied Arts,Architectural Studies,417,241,176,292,125
7365,2016,Fine and Applied Arts,Music,348,193,155,95,253
7361,2016,Fine and Applied Arts,Industrial Design,186,80,106,105,81
7367,2016,Fine and Applied Arts,Music Education,181,75,106,164,17
7376,2016,Fine and Applied Arts,Theatre,181,79,102,112,69
7352,2016,Fine and Applied Arts,Architecture,159,83,76,58,101
7359,2016,Fine and Applied Arts,Graphic Design,159,44,115,128,31
7364,2016,Fine and Applied Arts,Landscape Architecture,132,44,88,48,84
7377,2016,Fine and Applied Arts,Urban Planning,101,46,55,39,62
7362,2016,Fine and Applied Arts,Instrumental Music,78,30,48,59,19
