Major Name,Total
Actuarial Science,19
African American Studies,5
Anthropology,68
Applied Mathematics,14
Asian Studies,8
Astronomy,26
Atmospheric Sciences,41
BIOCH,169
Biochemistry,81
Biology,840
Biophysics & Computnl Biology,67
CELL & STR BIOL,68
CHEM E NUS,5
Chemical Engineering,413
Chemical Physics,6
Chemistry,391
Classical Philology,8
Classics,3
Comparative Literature,24
Creative Writing,23
E Asian Languages & Cultures,23
English,128
Entomology,38
French,28
GEN CURR,2090
Geography,40
Geology,46
German,19
History,99
Italian,3
LATIN AMER ST,3
Linguistics,71
Mathematics,165
Microbiology,60
Molecular & Integrative Physi,40
Molecular and Cellular Biology,22
Neuroscience,53
PRE-JOURN,593
PRE-MED,303
Philosophy,39
Plant Biology,22
Political Science,44
Portuguese,3
Psychology,193
REES,7
Slavic Languages & Literature,4
Sociology,47
Speech Communication,54
TRANSITION,206
UNCLASS,142
UNCM FR&SO,196
