Major Name,Total
Aero & Astro Engineering,433
Agricultural Engineering,94
Bioengineering,24
Civil Engineering,757
Computer Engineering,636
Computer Science,1192
Electrical Engineering,1444
Engineering Mechanics,72
Engineering Physics,102
Environ Engr in Civil Engr,74
Environ Science in Civil Engr,14
General Engineering,608
Industrial Engineering,92
Materials Science & Engr,408
Mechanical Engineering,1014
Nondegree,78
Nuclear Engineering,155
Physics,299
Systems & Entrepreneurial Engr,23
Theoretical & Applied Mechans,69
