Major Name,Total
Agr & Environmental Cmc & Educ,5
Agricultural & Applied Econ,444
Agricultural Communications,79
Agricultural Education,14
Agricultural Engineering,84
Agricultural Sciences,66
Agronomy,188
Animal Sciences,464
Application Design,18
CONSM ECON,21
CORE CURR,115
DAIRY SCI,68
DIETETICS,69
EXT EDUC,14
FAM&CON EC,15
Food Science & Human Nutrition,220
Forestry,76
GEN AGR,29
GEN H ECON,11
H DVL-FAM,80
HOME ECON,1
HR&FS A&ID,12
HR&FS GEN,3
HU DEV&FAM,27
Horticulture,52
INST MGMT,7
INT DSGN,148
Industrial Agriculture,79
MKT TEXT&A,165
Mechanical Agriculture,33
Nutritional Sciences,37
ORN HORT,64
PLANT PATH,36
Physics,376
REST MGMT,79
SOIL SCI,3
Secondary Education,40
Spanish,46
Speech & Hearing Science,128
Statistics,31
TEXT-APPRL,28
Teaching of Biological Science,3
Teaching of Chemistry,11
Teaching of Earth Science,1
Teaching of English Sec Lang,73
Teaching of French,20
Teaching of German,9
Teaching of Mathematics,39
Teaching of Physics,3
VOC H E ED,13
