,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
2600,1993,ACES,Animal Sciences,439,205,234,375,64
2594,1993,ACES,Agricultural & Applied Econ,438,340,98,346,92
2620,1993,ACES,Physics,348,319,29,93,255
2606,1993,ACES,Food Science & Human Nutrition,235,68,167,160,75
2625,1993,ACES,Speech & Hearing Science,192,10,182,162,30
2607,1993,ACES,Forestry,169,102,67,144,25
2610,1993,ACES,H DVL-FAM,137,12,125,137,0
2599,1993,ACES,Agronomy,132,98,34,81,51
2597,1993,ACES,Agricultural Engineering,109,95,14,106,3
2631,1993,ACES,Teaching of English Sec Lang,106,18,88,32,74
