Major Name,Total
Architectural Studies,581
Architecture,198
Art Education,105
Art Foundation,146
Art History,36
Art and Design,42
Crafts,20
Dance,82
Graphic Design,71
History of Art,13
Industrial Design,107
Instrumental Music,102
Jazz Performance,38
Landscape Architecture,155
Music,348
Music Composition,9
Music Education,267
Music History,2
Musicology,19
New Media,15
Nondegree,22
Open Studies,12
Painting,35
Photography,29
Regional Planning,19
Sculpture,10
Theatre,188
Urban Planning,150
Voice,35
