Major Name,Total
Agr & Consumer Economics,316
Agr & Environmental Cmc & Educ,125
Agr Engineering & Agr Science,49
Agricultural & Applied Econ,24
Agronomy,9
Animal Sciences,580
CFTM-CNSMR&TXTL,110
CFTM-MKT&PRICE,27
Crop Sciences,156
Food Science & Human Nutrition,370
Forestry,29
H DVL-FAM,1
HDFS-CH&AD DEV,147
HDFS-FS,61
HORT -- P&M,102
HORT--HORT SCI,10
HU DEV&FAM,5
Horticulture,7
Human & Community Development,23
INTRSRCCNSECON,1
IRCE-CONS EC&F,76
IRCE-E&NR MGMT,8
IRCE-INDCURRIC,8
"IRCE-POL,TRD,DV",42
NRES - SOILS,3
NRES-BIOL SCI,128
NRES-ENV S W,8
NRES-F & W CONS,8
NRES-SOC SCI,64
Natural Resrcs & Environ Sci,108
Nondegree,2
Nutritional Sciences,35
ORN HORT,1
PLANT PATH,5
Physics,302
REST MGMT,1
"Recreation, Sport, and Tourism ",104
Spanish,49
Speech & Hearing Science,217
Statistics,13
Teaching of Biological Science,3
Teaching of Chemistry,4
Teaching of Earth Science,2
Teaching of English Sec Lang,81
Teaching of French,9
Teaching of German,1
Teaching of Latin,1
Teaching of Mathematics,2
