Major Name,Total
African Studies,12
Asian Studies,12
Astronomy,74
Atmospheric Sciences,128
Biochemistry,204
Bioinformatics,1
Biology,784
Biophysics & Computnl Biology,65
Cell and Developmental Biology,42
Cell and Structural Biology,3
Chemical Engineering,621
Chemical Physics,9
Chemistry,730
Classical Philology,7
Classics,38
Communication,844
Comparative Literature,39
Creative Writing,16
E Asian Languages & Cultures,112
"Earth Systems, Env, & Society ",158
"Ecol, Evol, Conservation Biol ",22
Economics,906
English,813
Entomology,33
European Union Studies,5
Finance,2
French,81
Gender and Women's Studies,16
General Curriculum,87
Geography,70
Geology,78
German,21
Germanic Lang & Lit,15
Global Studies,205
History,599
History of Art,31
Individual Plans of Study,8
Integrative Biology,361
Interdisciplinary,16
International Studies,132
Italian,7
LAS - Undeclared,95
Latin American Studies,11
Linguistics,101
Math & Computer Science,82
Mathematics,593
Microbiology,67
Molecular & Integrative Physi,36
Molecular and Cellular Biology,1030
Molecular&Cell Bio-undeclared,36
Neuroscience,58
Nondegree,164
Philosophy,125
Physics,189
Plant Biology,40
Political Science,913
Portuguese,2
Psychology,1446
Religion,15
Religious Studies,8
Rhetoric,108
Russian & E European Studies,4
Russian Lang & Literature,4
"Russian, E Eur, Eurasian St ",13
Slavic Languages & Literature,14
Sociology,411
Spanish,226
Speech Communication,79
Statistics,177
Statistics & Computer Science,19
Teaching of Biological Science,2
Teaching of Chemistry,2
Teaching of English Sec Lang,59
Teaching of French,4
Teaching of German,3
Teaching of Latin,1
Teaching of Mathematics,4
Teaching of Spanish,25
