Major Name,Total
Actuarial Science,3
African American Studies,11
Anthropology,64
Applied Mathematics,11
Asian Studies,27
Astronomy,22
Atmospheric Sciences,27
BIOCH,156
Biochemistry,84
Biology,70
Biophysics & Computnl Biology,53
CELL & STR BIOL,46
Chemical Engineering,471
Chemical Physics,6
Chemistry,370
Classical Philology,4
Classics,7
Comparative Literature,23
E Asian Languages & Cultures,4
English,114
Entomology,29
French,34
GEN CURR,2459
Geography,33
Geology,54
German,23
History,98
Italian,3
LATIN AMER ST,5
Linguistics,70
Mathematics,173
Microbiology,52
Molecular & Integrative Physi,40
Neuroscience,40
PRE-JOURN,587
PRE-MED,241
Philosophy,42
Plant Biology,26
Political Science,34
Portuguese,3
Psychology,168
REES,4
Slavic Languages & Literature,8
Sociology,47
Speech Communication,51
TCH ENGL,1
TRANSITION,205
UNCLASS,165
UNCM FR&SO,190
