Major Name,Total
Agr & Environmental Cmc & Educ,3
Agricultural & Applied Econ,442
Agricultural Communications,77
Agricultural Education,15
Agricultural Engineering,74
Agricultural Sciences,61
Agronomy,194
Animal Sciences,441
Application Design,18
CONSM ECON,30
CORE CURR,82
DAIRY SCI,53
DIETETICS,70
EXT EDUC,13
FAM&CON EC,15
Food Science & Human Nutrition,199
Forestry,78
GEN AGR,32
GEN H ECON,10
H DVL-FAM,80
HR&FS A&ID,10
HR&FS GEN,6
HU DEV&FAM,18
Horticulture,56
INST MGMT,9
INT DSGN,143
Industrial Agriculture,86
MKT TEXT&A,192
Mechanical Agriculture,33
Nutritional Sciences,38
ORN HORT,62
PLANT PATH,38
Physics,390
REST MGMT,87
SOIL SCI,3
Secondary Education,47
Spanish,45
Speech & Hearing Science,105
Statistics,36
TEXT-APPRL,38
Teaching of Biological Science,4
Teaching of Chemistry,13
Teaching of Earth Science,2
Teaching of English Sec Lang,84
Teaching of French,16
Teaching of German,8
Teaching of Mathematics,35
Teaching of Physics,2
VOC H E ED,17
