Major Name,Total
Agr & Consumer Economics,675
Agric Leadership & Sci Educ,76
Agricultural & Applied Econ,82
Agricultural & Biological Engr,101
Agricultural Education,13
Agricultural Production,16
Animal Sciences,601
Bioenergy,11
Bioinformatics,4
Crop Sciences,255
Food Science & Human Nutrition,469
Horticulture,8
Human & Community Development,7
Human Development & Family St,191
Human Dvlpmt & Family Studies,25
Natural Res & Env Sciences,79
Natural Resrcs & Environ Sci,226
Nondegree,115
Nutritional Sciences,52
