Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,195,49,25,78,0,1,57,1,30,3,4,61
Architecture,61,12,7,12,0,0,103,0,8,2,0,14
Art Education,30,5,5,5,0,0,6,0,5,2,0,7
Art Foundation,3,3,4,1,0,0,3,1,4,0,0,3
Art History,8,1,0,2,0,0,3,0,1,0,0,1
Art and Design,22,4,1,2,0,0,16,1,2,1,0,4
Computer Science and Music,0,1,0,0,0,0,0,0,0,0,0,1
Crafts,2,0,1,0,0,0,1,0,1,0,0,0
Dance,42,1,14,5,0,0,1,0,20,5,0,2
Graphic Design,84,35,15,22,0,0,21,2,16,2,0,41
History of Art,1,0,0,3,0,0,4,0,0,0,0,0
Industrial Design,56,48,7,15,0,0,68,0,10,3,1,54
Instrumental Music,45,13,2,9,0,0,4,0,4,0,0,17
Jazz Performance,16,2,3,4,0,0,1,0,4,1,2,5
Landscape Architecture,26,5,1,10,0,0,63,1,3,2,0,6
Lyric Theatre,10,1,0,0,0,1,0,0,0,0,1,1
Music,174,29,11,28,0,0,87,4,17,4,0,33
Music Composition,5,2,0,0,0,0,2,0,1,1,0,2
Music Education,110,15,6,18,0,0,1,0,8,2,1,17
Musicology,14,2,0,2,0,0,0,0,1,0,0,3
New Media,12,9,2,2,0,0,1,1,4,1,0,11
Nondegree,9,1,1,3,0,0,24,0,1,0,0,1
Open Studies,4,1,0,0,0,0,0,0,0,0,0,1
Painting,15,5,5,6,0,0,2,0,6,0,0,7
Photography,16,1,4,6,0,0,5,0,4,1,0,1
Regional Planning,2,1,0,2,0,0,10,0,2,1,0,1
Sculpture,2,0,0,1,0,0,0,0,0,0,0,0
Theatre,130,10,18,24,0,0,7,0,24,4,2,16
Urban Planning,17,2,4,2,0,0,26,0,5,0,1,4
Urban Studies & Planning,35,3,7,15,0,0,16,0,9,0,1,7
Voice,14,2,3,5,0,0,0,0,3,1,0,3
