Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Business Administration,4,2,2,2,0,0,85,0,2,1,0,2
Business Administration (MBA),1011,424,118,152,2,3,48,229,142,17,5,564
Business Process Management,6,3,2,3,0,0,1,0,2,0,0,5
Curric Unassigned,531,210,30,107,0,2,102,12,37,4,9,237
Finance,349,142,17,51,0,0,309,7,17,4,1,155
Information Sys & Info Tech,40,30,4,14,0,0,13,1,5,0,0,31
Information Systems,13,12,0,0,0,0,0,0,0,0,0,12
Management,55,17,10,18,0,0,3,0,14,0,0,18
Marketing,125,36,17,28,0,0,22,2,22,0,0,44
Nondegree,2,0,0,0,0,0,95,0,0,0,0,0
Operations Management,7,1,0,3,0,0,0,0,0,0,0,1
Supply Chain Management,47,21,3,5,0,0,4,0,4,2,0,23
Technology Management,9,4,1,2,0,0,60,1,2,0,0,5
