Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Biology,1,0,0,0,0,0,0,0,0,0,0,0
HLTH EDUC,31,2,16,3,0,0,0,0,0,0,0,0
HLTH PL AD,69,14,21,7,0,0,0,0,0,0,0,0
Kinesiology,386,35,23,21,2,0,21,0,0,0,0,0
Leisure Studies,93,2,5,0,0,0,13,0,0,0,0,0
MSPH IN C HLTH,4,0,1,0,0,0,1,0,0,0,0,0
PARK & NR MGMT,4,1,0,0,0,0,0,0,0,0,0,0
PROG MANAG,35,2,5,2,0,0,1,0,0,0,0,0
"Recreation, Sport, and Tourism ",19,0,6,1,1,0,0,0,0,0,0,0
Rehabilitation,5,0,0,0,0,0,3,0,0,0,0,0
