Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
VMS - Veterinary Biosciences,9,0,1,0,0,0,7,1,0,0,0,0
VMS - Veterinary Pathobiology,10,2,1,3,0,0,8,0,0,0,0,0
VMS-Veterinary Clinical Medcne,11,1,1,0,0,0,13,1,0,0,0,0
Veterinary Medicine,297,14,3,7,1,0,2,80,0,0,0,0
