Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agr & Consumer Economics,440,57,28,48,2,1,57,5,31,6,2,64
Agric Leadership & Sci Educ,53,1,0,0,0,0,0,0,0,1,0,1
Agricultural & Applied Econ,13,4,2,2,0,0,62,1,3,0,0,5
Agricultural & Biological Engr,50,10,1,5,0,0,13,0,3,1,1,13
Agricultural Communications,29,1,3,5,0,0,0,0,4,0,0,1
Agricultural Education,30,0,2,0,0,0,0,0,2,0,0,0
Agricultural Production,4,0,0,0,0,0,2,0,0,0,0,0
Animal Sciences,355,47,49,116,0,0,42,1,61,6,2,61
Bioinformatics,2,1,1,0,0,0,0,0,1,0,0,1
Bioprocessing and Bioenergy,2,0,0,0,0,0,8,0,0,0,0,0
Computer Science&Crop Sciences,0,1,0,0,0,0,2,1,0,0,0,1
Crop Sciences,161,5,5,9,0,0,48,2,7,3,0,11
Food Science & Human Nutrition,210,64,20,52,0,0,120,3,23,2,2,76
Horticulture,1,0,0,0,0,0,1,1,0,0,0,0
Human & Community Development,0,0,0,0,0,0,0,0,0,0,0,1
Human Development & Family St,112,22,48,61,0,0,0,2,54,5,1,26
Human Dvlpmt & Family Studies,8,0,3,4,0,0,9,0,3,0,0,0
Natural Res & Env Sciences,91,1,1,4,0,0,19,0,1,3,0,2
Natural Resrcs & Environ Sci,155,14,9,31,1,0,27,0,11,1,0,18
Nondegree,51,0,1,4,0,1,23,1,1,1,1,1
Nutritional Sciences,16,8,2,8,0,0,6,0,2,1,0,9
