Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agr & Consumer Economics,166,4,6,2,1,0,0,0,0,0,0,0
Agr & Environmental Cmc & Educ,62,0,0,0,0,0,0,0,0,0,0,0
Agr Engineering & Agr Science,38,4,1,2,0,0,0,0,0,0,0,0
Agricultural & Applied Econ,165,1,15,2,0,0,61,0,0,0,0,0
Agricultural Communications,43,1,2,0,0,0,0,0,0,0,0,0
Agricultural Education,12,0,0,0,0,0,0,0,0,0,0,0
Agricultural Engineering,24,1,2,1,0,0,0,0,0,0,0,0
Agricultural Sciences,15,0,0,0,0,0,0,0,0,0,0,0
Agronomy,77,2,0,0,0,0,29,0,0,0,0,0
Animal Sciences,466,17,26,11,1,0,25,0,0,0,0,0
CFTM-CNSMR&TXTL,53,5,4,4,0,0,0,0,0,0,0,0
CFTM-MKT&PRICE,12,0,0,0,0,0,0,0,0,0,0,0
CONSM ECON,6,0,0,0,0,0,0,0,0,0,0,0
CORE CURR,8,0,0,0,0,0,0,0,0,0,0,0
Crop Sciences,47,1,0,0,0,0,0,0,0,0,0,0
DIETETICS,36,5,0,2,0,0,0,0,0,0,0,0
FAM&CON EC,1,0,0,0,0,0,6,0,0,0,0,0
Food Science & Human Nutrition,188,37,17,7,2,0,25,0,0,0,0,0
Forestry,105,3,5,5,0,0,6,0,0,0,0,0
H DVL-FAM,93,8,8,1,0,0,0,0,0,0,0,0
HDFS-CH&AD DEV,36,3,3,4,0,0,2,0,0,0,0,0
HDFS-FS,11,3,1,1,0,0,0,0,0,0,0,0
HORT -- P&M,36,1,1,1,0,0,0,0,0,0,0,0
HORT--HORT SCI,5,1,0,1,0,0,0,0,0,0,0,0
HR&FS A&ID,2,1,0,0,0,0,4,0,0,0,0,0
HU DEV&FAM,20,2,2,0,0,0,4,0,0,0,0,0
Horticulture,76,1,1,1,0,0,26,0,0,0,0,0
IRCE-CONS EC&F,27,4,0,1,0,0,0,0,0,0,0,0
IRCE-E&NR MGMT,4,0,0,0,0,0,0,0,0,0,0,0
IRCE-INDCURRIC,8,1,2,0,0,0,0,0,0,0,0,0
"IRCE-POL,TRD,DV",8,1,1,0,0,0,0,0,0,0,0,0
MKT TEXT&A,17,3,0,0,0,0,1,0,0,0,0,0
Mechanical Agriculture,28,0,0,1,0,0,0,0,0,0,0,0
NRES - SOILS,1,0,0,0,0,0,0,0,0,0,0,0
NRES-BIOL SCI,28,1,1,0,0,0,0,0,0,0,0,0
NRES-SOC SCI,8,1,0,0,0,0,0,0,0,0,0,0
Nutritional Sciences,17,2,1,0,2,0,13,0,0,0,0,0
ORN HORT,56,2,2,2,0,0,0,0,0,0,0,0
PLANT PATH,6,0,0,0,1,0,12,0,0,0,0,0
Physics,195,20,0,2,0,0,74,0,0,0,0,0
REST MGMT,20,2,0,0,0,0,1,0,0,0,0,0
"Recreation, Sport, and Tourism ",38,0,4,1,0,0,0,0,0,0,0,0
Secondary Education,25,2,1,1,0,0,0,0,0,0,0,0
Spanish,21,1,0,11,0,0,16,0,0,0,0,0
Speech & Hearing Science,195,12,15,15,1,0,7,0,0,0,0,0
Statistics,10,0,0,0,0,0,7,0,0,0,0,0
TEXT-APPRL,2,1,0,0,0,0,0,0,0,0,0,0
Teaching of Biological Science,5,1,0,0,0,0,0,0,0,0,0,0
Teaching of Chemistry,10,1,1,0,0,0,1,0,0,0,0,0
Teaching of Earth Science,2,0,0,1,0,0,0,0,0,0,0,0
Teaching of English Sec Lang,39,3,0,1,0,0,51,0,0,0,0,0
Teaching of French,6,0,1,0,0,0,0,0,0,0,0,0
Teaching of German,2,0,0,0,0,0,0,0,0,0,0,0
Teaching of Latin,2,0,0,0,0,0,0,0,0,0,0,0
Teaching of Mathematics,18,1,0,0,0,0,0,0,0,0,0,0
Teaching of Physics,4,0,0,0,0,0,0,0,0,0,0,0
