Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Aerospace Engineering,322,111,6,55,1,0,135,7,7,6,1,132
Agricultural & Biological Engr,54,9,1,5,0,0,53,0,1,0,1,13
Bioengineering,149,94,2,16,1,0,40,4,6,3,3,104
Bioinformatics,1,0,0,0,0,0,4,0,0,0,0,0
Bioinstrumentation,2,2,1,0,0,0,7,0,1,0,0,2
Civil Engineering,481,135,21,79,0,0,574,3,29,5,0,155
Computer Engineering,352,315,10,44,0,2,291,10,16,6,3,350
Computer Science,445,412,17,42,1,0,683,14,21,8,2,438
Electrical & Computer Engr,101,47,6,9,0,1,329,5,6,1,1,53
Electrical Engineering,360,287,18,51,1,3,385,13,22,6,7,312
Engineering,6,1,1,1,0,0,11,0,1,0,0,1
Engineering Mechanics,45,15,0,11,0,1,40,0,0,0,1,15
Engineering Physics,136,37,2,13,1,0,44,4,3,2,0,46
Engineering Undeclared,75,38,4,8,0,0,12,4,6,1,0,42
Environ Engr in Civil Engr,36,7,1,7,0,0,48,0,3,0,0,9
Environ Science in Civil Engr,0,0,0,0,0,0,1,0,0,0,0,0
Financial Engineering,4,7,0,1,0,0,110,0,0,1,0,8
General Engineering,140,34,2,15,0,0,32,1,3,0,0,39
Industrial Engineering,110,48,6,5,0,0,151,6,6,0,2,58
Materials Science & Engr,220,97,5,20,0,0,220,2,9,3,0,115
Mechanical Engineering,566,161,15,72,3,0,395,7,25,10,2,188
Nondegree,37,6,1,2,0,0,164,6,1,2,0,6
Nuclear Engineering,3,0,0,0,0,0,0,0,0,0,0,0
"Nuclear, Plasma, Radiolgc Engr ",129,25,7,19,0,0,44,1,8,0,1,34
Physics,92,23,1,10,0,0,124,7,1,1,1,27
Systems & Entrepreneurial Engr,9,0,1,0,0,0,18,0,1,0,0,0
Theoretical & Applied Mechans,17,3,0,1,0,0,25,0,0,0,0,4
