Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
African Studies,0,0,2,0,0,0,0,0,2,0,0,1
Asian American Studies,0,1,0,0,0,0,1,0,0,0,0,1
Astronomy,48,8,4,8,0,0,32,1,5,0,0,10
Atmospheric Sciences,69,7,5,12,0,0,22,0,7,1,0,8
Biochemistry,94,60,3,11,0,1,62,2,5,1,1,66
Biology,283,194,63,93,0,0,31,3,74,0,9,221
Biophysics & Computnl Biology,5,1,0,0,0,0,10,0,0,0,0,1
Biophysics & Quant Biology,7,4,0,2,0,0,20,0,0,0,0,5
Cell and Developmental Biology,3,2,0,1,0,0,25,0,0,0,0,2
Chemical Engineering,300,187,25,64,0,0,181,6,29,3,3,210
Chemical Physics,5,0,0,1,0,0,0,0,0,0,0,0
Chemistry,335,148,34,80,0,0,194,5,42,6,5,168
Classical Philology,7,0,1,0,0,0,2,0,2,0,0,0
Classics,12,0,0,1,0,0,0,0,0,1,0,0
Communication,397,56,85,103,0,0,50,1,105,9,5,67
Comparative Literature,15,0,1,2,0,0,5,0,1,0,0,0
Computer Sci & Anthropology,7,11,1,1,0,0,3,2,1,0,0,12
Computer Sci & Astronomy,10,12,1,2,0,0,6,0,1,0,0,13
Computer Sci & Chemistry,11,21,0,3,0,0,10,1,0,0,0,22
Computer Sci & Linguistics,19,30,2,4,1,0,11,1,3,2,0,31
Creative Writing,65,2,13,16,0,0,5,0,13,1,0,4
E Asian Languages & Cultures,24,12,1,2,0,0,25,0,1,0,0,12
"Earth, Soc, Env Sustainability ",76,12,6,36,1,0,12,2,9,3,2,18
East Asian Studies,2,1,1,0,0,0,7,0,1,0,0,1
"Ecol, Evol, Conservation Biol ",23,2,2,5,0,0,2,0,3,1,0,4
Economics,385,209,28,62,2,0,535,8,36,5,1,222
English,281,40,23,81,2,1,12,2,26,8,2,54
Entomology,26,2,0,3,0,0,4,0,1,1,0,2
European Union Studies,6,0,0,2,0,0,2,0,0,0,0,0
French,12,4,2,3,0,0,13,0,3,1,0,5
Gender and Women's Studies,6,1,0,3,0,0,2,0,1,0,0,1
General Curriculum,55,36,18,23,0,0,23,1,21,1,2,42
Geography,13,1,2,2,0,0,34,0,2,1,0,1
Geography & Geographic Info Sc,17,6,5,2,0,0,7,0,6,0,0,7
Geology,52,8,3,9,0,0,25,0,3,1,1,12
German,7,0,0,0,0,0,5,0,0,0,0,0
Germanic Lang & Lit,4,1,0,0,0,0,0,0,0,0,0,1
Global Studies,85,23,18,35,0,0,17,3,24,3,1,30
Health Communication,19,5,0,2,0,0,0,1,0,0,0,6
History,199,17,16,51,0,0,29,4,17,4,4,28
History of Art,6,3,1,1,0,0,5,0,1,0,0,3
Individual Plans of Study,3,4,0,0,0,0,0,0,0,0,1,5
Integrative Biology,224,69,21,44,0,1,13,1,26,2,1,86
Interdisciplinary,3,0,0,0,0,0,0,0,0,0,0,0
Italian,2,0,0,1,0,0,4,0,1,1,0,0
LAS - Undeclared,1,1,67,44,0,0,0,0,75,3,1,1
Latin American Studies,2,0,0,1,0,0,0,0,0,0,0,0
Latina/Latino Studies,0,0,0,13,0,0,0,0,2,0,0,0
Linguistics,65,13,4,19,0,0,29,0,8,0,0,17
Math & Computer Science,77,87,3,11,0,0,121,0,5,1,1,94
Mathematics,167,89,10,47,0,0,420,1,19,3,3,98
Microbiology,21,8,1,2,0,0,18,0,2,1,0,10
Molecular & Integrative Physi,4,2,1,1,0,0,12,0,1,0,0,2
Molecular and Cellular Biology,449,333,41,94,0,0,45,3,53,8,4,370
Molecular&Cell Bio-undeclared,14,3,0,2,0,0,18,0,0,0,0,4
Neuroscience,35,4,1,5,0,0,10,0,3,1,0,7
Nondegree,79,13,8,10,0,0,102,4,9,2,1,19
Philosophy,37,6,7,15,0,0,16,3,9,4,0,9
Physics,147,52,3,21,0,0,112,4,6,0,1,63
Plant Biology,16,2,0,2,0,0,11,1,1,0,0,2
Political Science,397,70,48,113,0,1,33,2,65,6,10,93
Psychological Science,3,0,1,0,0,0,4,0,1,0,0,0
Psychology,666,253,149,264,0,3,194,3,177,16,8,291
Religion,7,2,0,0,0,0,1,0,0,0,0,2
Rhetoric,1,0,0,0,0,0,0,0,0,0,0,0
"Russian, E Eur, Eurasian St ",11,0,0,2,0,0,1,1,0,1,0,0
S Asian & Middle Eastern St,2,0,0,1,0,0,0,0,0,0,0,0
Slavic Languages & Literature,7,0,1,1,0,0,5,1,1,0,0,1
Slavic Studies,0,0,0,1,0,0,0,0,0,0,0,0
Sociology,64,12,42,42,0,0,29,3,50,4,0,18
Spanish,59,2,5,42,0,0,25,0,7,1,0,4
Speech Communication,3,0,0,0,0,0,0,0,0,0,0,0
Statistics,74,90,1,15,0,0,314,4,1,0,1,98
Statistics & Computer Science,32,98,0,3,0,0,69,0,0,0,0,99
Teaching of Biological Science,21,0,0,0,0,0,0,1,0,0,0,0
Teaching of Chemistry,1,1,0,0,0,0,0,0,0,0,0,1
Teaching of English Sec Lang,15,2,0,1,0,0,14,0,0,0,0,3
Teaching of Latin,1,0,0,0,0,0,0,0,0,0,0,0
Teaching of Mathematics,1,0,0,0,0,0,0,0,0,0,0,1
Teaching of Spanish,2,0,0,1,0,0,0,0,0,0,0,0
Translation and Interpreting,11,0,1,5,0,0,10,0,2,0,0,1
