Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,176,47,24,65,0,1,97,0,27,6,2,50
Architecture,50,17,3,4,0,0,82,1,3,0,0,19
Art Education,23,3,1,7,0,0,4,0,1,0,0,4
Art Foundation,14,3,3,3,0,0,5,0,4,0,0,3
Art History,10,0,0,2,1,0,6,0,1,1,0,0
Art and Design,24,4,0,5,0,0,10,0,0,0,0,4
Crafts,4,1,0,0,0,0,3,0,0,1,0,2
Dance,44,1,13,6,0,0,0,0,18,2,1,5
Graphic Design,83,27,6,17,0,1,21,1,6,0,3,31
History of Art,3,0,0,3,0,0,0,0,0,0,0,0
Industrial Design,62,34,5,15,0,0,62,1,8,4,0,40
Instrumental Music,56,6,3,7,0,0,5,0,4,0,0,9
Jazz Performance,21,3,7,0,0,0,1,1,8,2,2,5
Landscape Architecture,35,5,0,10,0,0,81,0,0,1,1,5
Music,167,21,9,20,0,0,124,2,13,1,0,27
Music Composition,4,0,0,1,0,0,0,1,1,0,0,1
Music Education,144,13,5,16,0,0,3,0,5,2,0,13
Musicology,13,2,1,3,0,0,2,0,1,0,0,3
New Media,9,2,2,1,0,0,2,0,4,2,0,4
Nondegree,6,2,1,1,0,0,20,0,3,0,0,2
Open Studies,3,0,0,0,0,0,0,0,0,0,0,0
Painting,13,2,5,2,0,0,5,0,5,0,0,5
Photography,11,0,3,4,0,0,2,0,4,0,0,0
Regional Planning,4,1,0,1,0,0,11,0,0,0,0,1
Sculpture,0,2,0,0,0,0,0,0,0,0,0,2
Theatre,124,5,20,14,1,0,13,0,23,3,0,6
Urban Planning,34,8,5,8,0,0,42,1,9,0,0,10
Urban Studies & Planning,20,2,1,7,0,0,13,0,1,0,0,2
Voice,18,0,3,5,0,0,0,0,3,0,0,0
