Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agr & Environmental Cmc & Educ,4,0,0,0,0,0,2,0,0,0,0,0
Agricultural & Applied Econ,373,3,5,1,1,0,34,0,0,0,0,0
Agricultural Communications,69,0,4,0,1,0,0,0,0,0,0,0
Agricultural Education,14,0,0,0,1,0,0,0,0,0,0,0
Agricultural Engineering,67,2,0,0,0,0,0,0,0,0,0,0
Agricultural Sciences,56,1,0,0,0,0,1,0,0,0,0,0
Agronomy,142,2,3,1,0,0,28,0,0,0,0,0
Animal Sciences,347,5,6,0,1,0,31,0,0,0,0,0
Application Design,8,0,0,1,0,0,0,0,0,0,0,0
CONSM ECON,36,0,0,0,0,0,0,0,0,0,0,0
CORE CURR,69,1,0,0,0,0,1,0,0,0,0,0
DAIRY SCI,39,0,0,0,0,0,7,0,0,0,0,0
DIETETICS,75,3,2,1,0,0,0,0,0,0,0,0
EXT EDUC,8,0,2,0,0,0,3,0,0,0,0,0
FAM&CON EC,4,0,2,1,0,0,9,0,0,0,0,0
Food Science & Human Nutrition,159,17,4,5,0,0,30,0,0,0,0,0
Forestry,57,1,0,1,0,0,2,0,0,0,0,0
GEN AGR,18,0,0,0,0,0,0,0,0,0,0,0
GEN H ECON,12,0,0,0,0,0,0,0,0,0,0,0
H DVL-FAM,81,3,2,2,0,0,0,0,0,0,0,0
HR&FS A&ID,5,0,0,0,0,0,6,0,0,0,0,0
HR&FS GEN,2,0,1,0,0,0,0,0,0,0,0,0
HU DEV&FAM,10,0,0,0,0,0,2,0,0,0,0,0
Horticulture,26,3,0,0,0,0,21,0,0,0,0,0
INST MGMT,5,0,0,0,0,0,0,0,0,0,0,0
INT DSGN,118,4,4,1,0,0,2,0,0,0,0,0
Industrial Agriculture,88,0,1,0,0,0,0,0,0,0,0,0
MKT TEXT&A,147,3,7,1,1,0,0,0,0,0,0,0
Mechanical Agriculture,23,0,0,0,0,0,0,0,0,0,0,0
Nutritional Sciences,25,4,0,1,0,0,9,0,0,0,0,0
ORN HORT,61,0,0,1,0,0,0,0,0,0,0,0
PLANT PATH,26,1,0,0,0,0,9,0,0,0,0,0
Physics,279,20,2,5,1,0,57,0,0,0,0,0
REST MGMT,94,1,1,0,0,0,1,0,0,0,0,0
SOIL SCI,4,0,0,0,0,0,0,0,0,0,0,0
Secondary Education,42,2,0,0,0,0,0,0,0,0,0,0
Spanish,21,0,0,7,0,0,18,0,0,0,0,0
Speech & Hearing Science,79,3,5,1,0,0,1,0,0,0,0,0
Statistics,9,4,0,0,0,0,31,0,0,0,0,0
TEXT-APPRL,39,3,4,0,0,0,0,0,0,0,0,0
Teaching of Biological Science,2,0,0,0,0,0,0,0,0,0,0,0
Teaching of Chemistry,12,0,0,0,0,0,0,0,0,0,0,0
Teaching of Earth Science,1,0,0,0,0,0,0,0,0,0,0,0
Teaching of English Sec Lang,33,2,2,0,0,0,36,0,0,0,0,0
Teaching of French,17,0,0,0,0,0,0,0,0,0,0,0
Teaching of German,7,0,0,0,0,0,1,0,0,0,0,0
Teaching of Mathematics,27,0,0,0,0,0,0,0,0,0,0,0
Teaching of Physics,2,0,1,0,0,0,0,0,0,0,0,0
VOC H E ED,14,0,1,0,0,0,0,0,0,0,0,0
