Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Accountancy,740,189,46,60,2,0,197,27,0,0,0,0
Actuarial Science,159,38,6,7,1,0,35,3,0,0,0,0
Advertising,193,22,16,13,2,0,13,4,0,0,0,0
Anthropology,135,7,9,29,2,0,22,3,0,0,0,0
Applied Mathematics,4,3,0,0,0,0,27,1,0,0,0,0
Early Childhood Education,48,5,0,4,1,0,2,0,0,0,0,0
Ed Organization and Leadership,96,1,19,5,0,0,4,2,0,0,0,0
Educ Voc Tech,40,0,15,1,0,0,34,5,0,0,0,0
Education,5,0,0,0,0,0,1,0,0,0,0,0
Education General,223,14,14,25,3,0,2,4,0,0,0,0
Educational Policy Studies,32,10,37,28,6,0,19,3,0,0,0,0
Educational Psychology,47,5,9,6,0,0,56,1,0,0,0,0
Elementary Education,298,29,20,14,0,0,40,7,0,0,0,0
Nondegree,1,0,0,0,0,0,5,0,0,0,0,0
Secondary & Continuing Educ,51,4,10,3,0,0,42,2,0,0,0,0
Special Education,121,7,7,3,0,0,17,2,0,0,0,0
