Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Architectural Studies,519,24,9,14,2,0,15,0,0,0,0,0
Architecture,193,7,6,1,0,0,24,0,0,0,0,0
Art Education,63,1,3,1,0,0,3,0,0,0,0,0
Art History,55,2,1,2,0,0,2,0,0,0,0,0
Art and Design,319,16,9,2,2,0,9,0,0,0,0,0
Crafts,23,1,0,0,1,0,0,0,0,0,0,0
Dance,39,2,3,0,0,0,3,0,0,0,0,0
Graphic Design,176,5,1,2,0,0,0,0,0,0,0,0
Industrial Design,78,9,4,0,0,0,4,0,0,0,0,0
Landscape Architecture,134,4,1,3,1,0,2,0,0,0,0,0
MUS-VOICE,44,0,3,0,0,0,1,0,0,0,0,0
MUSIC-COMP,13,0,0,0,0,0,0,0,0,0,0,0
MUSIC-INST,86,11,3,1,1,0,4,0,0,0,0,0
MUSIC-OPEN,1,0,0,0,0,0,0,0,0,0,0,0
Music,186,2,8,2,0,0,12,0,0,0,0,0
Music Education,273,2,3,2,1,0,6,0,0,0,0,0
Music History,4,0,0,0,0,0,1,0,0,0,0,0
PERFORM ST,25,1,0,0,0,0,0,0,0,0,0,0
TCH DANCE,2,0,0,0,0,0,0,0,0,0,0,0
Theatre,22,0,0,0,0,0,0,0,0,0,0,0
UNCLASS,41,1,1,0,1,0,7,0,0,0,0,0
Urban Planning,115,4,6,1,0,0,5,0,0,0,0,0
