Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agr & Environmental Cmc & Educ,3,0,1,0,0,0,1,0,0,0,0,0
Agricultural & Applied Econ,315,3,5,0,1,0,23,0,0,0,0,0
Agricultural Communications,70,0,0,0,2,0,0,0,0,0,0,0
Agricultural Education,20,0,0,0,0,0,0,0,0,0,0,0
Agricultural Engineering,88,0,0,0,0,0,1,0,0,0,0,0
Agricultural Sciences,71,1,1,1,0,0,1,0,0,0,0,0
Agronomy,183,2,3,2,1,0,10,0,0,0,0,0
Animal Sciences,462,4,9,5,1,0,15,0,0,0,0,0
Application Design,7,0,0,0,0,0,0,0,0,0,0,0
CORE CURR,148,1,4,0,0,0,0,0,0,0,0,0
DAIRY SCI,61,0,0,1,1,0,4,0,0,0,0,0
DIETETICS,33,1,0,0,0,0,0,0,0,0,0,0
EXT EDUC,9,0,1,0,0,0,1,0,0,0,0,0
FAM&CON EC,11,1,0,0,0,0,1,0,0,0,0,0
Food Science & Human Nutrition,158,9,4,2,0,0,29,0,0,0,0,0
Forestry,115,1,0,0,0,0,3,0,0,0,0,0
GEN AGR,44,2,0,0,1,0,0,0,0,0,0,0
GEN AGRIC,1,0,0,0,0,0,0,0,0,0,0,0
GEN H ECON,6,0,1,0,0,0,0,0,0,0,0,0
H DVL-FAM,37,0,3,0,0,0,0,0,0,0,0,0
HOME ECON,143,0,5,0,1,0,2,0,0,0,0,0
HOME MGMT,1,0,0,0,0,0,0,0,0,0,0,0
HR&FS,1,0,0,0,0,0,1,0,0,0,0,0
HR&FS A&ID,3,0,0,0,0,0,0,0,0,0,0,0
HR&FS GEN,6,0,0,0,0,0,1,0,0,0,0,0
HU DEV&FAM,12,0,0,0,0,0,1,0,0,0,0,0
Horticulture,50,3,1,0,0,0,4,0,0,0,0,0
INST MGMT,7,0,1,0,0,0,0,0,0,0,0,0
INT DSGN,157,3,3,2,3,0,0,0,0,0,0,0
Industrial Agriculture,73,0,0,0,0,0,0,0,0,0,0,0
MKT TEXT&A,90,5,2,0,1,0,0,0,0,0,0,0
Mechanical Agriculture,48,0,0,1,0,0,0,0,0,0,0,0
Nutritional Sciences,37,2,0,0,0,0,4,0,0,0,0,0
ORN HORT,101,2,0,0,0,0,0,0,0,0,0,0
PLANT PATH,29,1,0,0,0,0,9,0,0,0,0,0
Physics,278,20,2,0,1,0,52,0,0,0,0,0
REST MGMT,51,0,0,0,1,0,0,0,0,0,0,0
Secondary Education,20,0,0,0,0,0,0,0,0,0,0,0
Spanish,27,0,2,12,0,0,8,0,0,0,0,0
Speech & Hearing Science,124,0,11,1,0,0,2,0,0,0,0,0
Statistics,5,0,0,1,0,0,4,0,0,0,0,0
TEXT-APPRL,9,1,1,0,0,0,0,0,0,0,0,0
Teaching of Chemistry,9,0,0,0,0,0,0,0,0,0,0,0
Teaching of English Sec Lang,45,1,0,1,0,0,27,0,0,0,0,0
Teaching of French,10,1,1,0,0,0,0,0,0,0,0,0
Teaching of German,7,0,0,0,0,0,0,0,0,0,0,0
Teaching of Latin,1,0,1,0,0,0,0,0,0,0,0,0
Teaching of Mathematics,20,0,0,0,0,0,0,0,0,0,0,0
Teaching of Physics,1,0,0,0,0,0,0,0,0,0,0,0
VOC H E ED,25,1,1,0,0,0,0,0,0,0,0,0
Wood Sciences,5,0,0,0,0,0,0,0,0,0,0,0
