Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
BUS EDUC,18,2,1,0,0,0,0,0,0,0,0,0
ED POL ST,27,4,4,3,0,0,11,0,0,0,0,0
ED SEC&CON,87,2,2,1,0,0,34,0,0,0,0,0
EDUC ELEMENTARY,78,2,8,2,0,0,23,0,0,0,0,0
EDUC GEN,172,8,3,3,0,0,0,0,0,0,0,0
Early Childhood Education,81,2,2,0,0,0,1,0,0,0,0,0
Ed Organization and Leadership,111,1,12,2,0,0,5,0,0,0,0,0
Educ Voc Tech,73,2,10,0,0,0,18,0,0,0,0,0
Educational Psychology,84,5,6,5,1,0,29,0,0,0,0,0
Elementary Education,364,8,3,8,2,0,0,0,0,0,0,0
Special Education,60,1,1,1,0,0,5,0,0,0,0,0
TCH ENGL,31,0,0,0,0,0,2,0,0,0,0,0
TCH GEN SCIENCE,6,0,0,0,0,0,0,0,0,0,0,0
TCH LIFE SCI,13,0,0,0,0,0,0,0,0,0,0,0
TCH PHYS SCI,4,0,0,0,0,0,0,0,0,0,0,0
TCH SOC ST,38,0,0,0,0,0,1,0,0,0,0,0
TECH ED SP,26,0,0,0,0,0,0,0,0,0,0,0
UG NON-DEG,9,0,1,0,0,0,0,0,0,0,0,0
