Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Aero & Astro Engineering,303,40,13,15,0,0,21,0,0,0,0,0
Agricultural Engineering,56,1,2,0,0,0,28,0,0,0,0,0
CER ENGR,140,21,3,5,1,0,18,0,0,0,0,0
CERAMICS,8,1,0,0,0,0,4,0,0,0,0,0
Civil Engineering,707,72,21,29,1,0,95,0,0,0,0,0
Computer Engineering,220,59,25,18,0,0,3,0,0,0,0,0
Computer Science,267,69,25,15,1,0,8,0,0,0,0,0
ENGR MECH,60,11,1,1,0,0,0,0,0,0,0,0
ENGR PHYS,63,7,1,2,0,0,2,0,0,0,0,0
ENV ENGR,53,3,2,3,0,0,19,0,0,0,0,0
ENV SCI,11,1,0,1,0,0,1,0,0,0,0,0
Electrical Engineering,923,360,54,44,1,0,134,0,0,0,0,0
GEN ENGR,467,63,28,39,0,0,11,0,0,0,0,0
Industrial Engineering,111,22,9,2,0,0,7,0,0,0,0,0
METAL ENGR,86,12,2,1,0,0,67,0,0,0,0,0
Mechanical Engineering,744,119,40,29,2,0,50,0,0,0,0,0
Nuclear Engineering,120,12,4,8,0,0,22,0,0,0,0,0
TCH CS,2,0,0,0,0,0,0,0,0,0,0,0
Theoretical & Applied Mechans,28,0,0,1,0,0,25,0,0,0,0,0
