Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Aero & Astro Engineering,259,40,8,20,1,0,39,0,0,0,0,0
Agricultural Engineering,89,3,5,5,0,0,19,0,0,0,0,0
CER ENGR,2,0,0,0,0,0,0,0,0,0,0,0
Civil Engineering,540,44,16,31,0,0,142,0,0,0,0,0
Computer Engineering,451,231,38,46,1,0,24,0,0,0,0,0
Computer Science,505,180,31,28,1,0,20,0,0,0,0,0
ENGR MECH,14,1,1,1,0,0,0,0,0,0,0,0
ENGR NONDEGREE,8,2,0,0,0,0,45,0,0,0,0,0
ENGR PHYS,54,6,0,3,0,0,2,0,0,0,0,0
ENV ENGR,40,1,1,2,0,0,35,0,0,0,0,0
ENV SCI,1,0,0,0,0,0,8,0,0,0,0,0
Electrical Engineering,576,291,23,44,1,0,266,0,0,0,0,0
GEN ENGR,361,70,11,11,0,0,18,0,0,0,0,0
Industrial Engineering,72,22,7,7,0,0,17,0,0,0,0,0
MATSCI&ENG,129,27,5,3,0,0,1,0,0,0,0,0
METAL ENGR,1,0,0,0,0,0,0,0,0,0,0,0
Materials Science & Engr,38,7,0,5,0,0,64,0,0,0,0,0
Mechanical Engineering,598,103,21,32,1,0,120,0,0,0,0,0
Nuclear Engineering,54,4,1,4,0,0,24,0,0,0,0,0
Theoretical & Applied Mechans,13,2,0,2,0,0,41,0,0,0,0,0
