Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Air Systems,13,2,0,1,0,0,0,0,0,0,0,0
Nondegree,16,0,0,0,0,0,0,0,0,0,0,0
PP/AS,85,7,2,5,1,0,0,0,0,0,0,0
Professional Pilot,70,1,1,1,2,0,0,0,0,0,0,0
