Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
African American Studies,1,0,1,0,0,0,1,0,0,0,0,0
Anthropology,57,3,0,2,0,0,33,0,0,0,0,0
Applied Mathematics,4,2,0,0,0,0,18,0,0,0,0,0
Asian Studies,13,8,0,0,0,0,10,0,0,0,0,0
Astronomy,8,0,1,0,0,0,11,0,0,0,0,0
Atmospheric Sciences,17,0,1,1,0,0,17,0,0,0,0,0
BIOCH,92,38,4,5,0,0,4,0,0,0,0,0
Biochemistry,64,9,1,1,0,0,27,0,0,0,0,0
Biology,103,16,2,2,0,0,32,0,0,0,0,0
Biophysics & Computnl Biology,14,8,0,1,0,0,26,0,0,0,0,0
Chemical Engineering,311,63,17,21,0,0,30,0,0,0,0,0
Chemical Physics,6,1,0,0,0,0,4,0,0,0,0,0
Chemistry,333,32,6,7,0,0,76,0,0,0,0,0
Classical Philology,6,0,0,0,0,0,3,0,0,0,0,0
Classics,14,0,0,1,0,0,1,0,0,0,0,0
Comparative Literature,9,1,2,0,0,0,22,0,0,0,0,0
English,123,0,3,0,0,0,14,0,0,0,0,0
Entomology,16,1,1,2,0,0,8,0,0,0,0,0
French,37,1,0,2,0,0,18,0,0,0,0,0
GEN CURR,1269,201,354,243,3,0,10,0,0,0,0,0
Geography,38,0,1,0,0,0,9,0,0,0,0,0
Geology,40,1,0,3,0,0,14,0,0,0,0,0
German,34,0,0,0,0,0,5,0,0,0,0,0
History,113,0,6,2,0,0,9,0,0,0,0,0
Italian,4,0,0,0,0,0,1,0,0,0,0,0
LAS TCH MATH,12,0,0,1,0,0,0,0,0,0,0,0
Linguistics,24,2,4,0,0,0,62,0,0,0,0,0
Mathematics,107,5,2,1,0,0,76,0,0,0,0,0
Microbiology,34,0,0,1,1,0,24,0,0,0,0,0
Molecular & Integrative Physi,20,2,0,1,1,0,26,0,0,0,0,0
Neuroscience,16,3,0,1,0,0,5,0,0,0,0,0
PRE-JOURN,317,24,52,35,2,0,3,0,0,0,0,0
PRE-MED,119,51,20,20,0,0,1,0,0,0,0,0
Philosophy,37,0,0,0,1,0,5,0,0,0,0,0
Plant Biology,13,0,1,0,0,0,9,0,0,0,0,0
Political Science,47,2,4,0,0,0,10,0,0,0,0,0
Portuguese,1,0,0,1,0,0,4,0,0,0,0,0
Psychology,143,13,8,5,0,0,38,0,0,0,0,0
Slavic Languages & Literature,17,0,0,0,0,0,10,0,0,0,0,0
Sociology,31,1,1,0,0,0,13,0,0,0,0,0
Speech Communication,48,2,2,0,0,0,7,0,0,0,0,0
TCH BIOL,25,2,0,0,0,0,0,0,0,0,0,0
TCH ENGL,76,3,4,4,0,0,0,0,0,0,0,0
TCH RUSS,6,0,0,0,0,0,0,0,0,0,0,0
TCH SOC ST,49,1,0,4,0,0,0,0,0,0,0,0
TCH SPEECH,4,0,0,0,0,0,0,0,0,0,0,0
TEACH CS,3,1,0,0,0,0,0,0,0,0,0,0
UNCLASS,90,4,4,1,0,0,80,0,0,0,0,0
UNCM FR&SO,160,11,26,21,0,0,2,0,0,0,0,0
