Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
BUS EDUC,1,0,0,0,0,0,0,0,0,0,0,0
ED POL ST,24,9,36,23,1,0,15,0,0,0,0,0
ED SEC&CON,33,5,8,1,0,0,50,0,0,0,0,0
EDUC ELEMENTARY,44,2,7,2,0,0,30,0,0,0,0,0
EDUC GEN,241,26,9,13,2,0,0,0,0,0,0,0
Early Childhood Education,48,6,2,7,0,0,0,0,0,0,0,0
Ed Organization and Leadership,109,2,32,2,0,0,5,0,0,0,0,0
Educ Voc Tech,42,0,11,2,0,0,25,0,0,0,0,0
Educational Psychology,55,1,5,5,1,0,68,0,0,0,0,0
Elementary Education,237,31,19,18,0,0,1,0,0,0,0,0
Secondary & Continuing Educ,24,4,1,1,0,0,0,0,0,0,0,0
Special Education,107,2,3,1,0,0,18,0,0,0,0,0
UG NON-DEG,1,0,0,0,0,0,0,0,0,0,0,0
XMURAL,0,0,0,0,0,0,0,0,0,0,0,0
