Major Name,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian
Agricultural Communications,14,1,3,1,0,0,0,0,3,0,0,0
Broadcast Journalism,87,8,26,16,0,0,6,1,29,2,0,0
Communications,4,4,2,4,0,0,13,1,3,2,0,0
Communications and Media,6,0,2,2,0,0,10,0,3,1,0,0
General Curriculum,1,0,0,0,0,0,0,0,0,0,0,0
Journalism,5,0,1,0,0,0,4,0,1,0,0,0
Media Studies,1,1,0,0,0,0,0,0,0,0,0,0
Media and Cinema Studies,77,8,10,7,0,0,9,1,11,0,0,0
News-Editorial,118,9,12,15,0,1,7,0,14,2,0,0
Nondegree,2,1,0,1,0,0,3,0,0,0,0,0
